entity,type,entity_type,description/context,ask,for_tagging,for_graph,for_glossary,treatment_category,indications,short_name,market_name,moa,mutations/specifics of indications,drugs_involved,therapy1,therapy2,therapy3,NCT#
Venetoclax,string,Drug,"Venclexta (venetoclax) also referred as ven, is a oral BCL-2 inhibitor by mechanism of action. It is used to treat adults with following cancer indications :      
                1. Chronic lymphocytic leukemia/small lymphocytic lymphoma (also acronimyzed as CLL/SLL).      
                2. Acute Myeloid Lekuemia (also acronymized as AML)

                Following are the clinical trials pertient to Venetoclax:
                1. amplify
                2. murano
                3. majic
                4. captivate
                5. sympatico
","identify whether the question has relevance with venetoclax or not based on the given context,  please assign as yes or no.",1,1,1,Heme Onc,"CLL, SLL AML",ven,Venclexta,BCL2,,,,,,
Obinutuzumab,string,Drug,"Gazyva (obinutuzumab) also referred as ven, is a a monoclonal antibody medication. It is used to treat adults with following cancer indications :      
                1. Chronic lymphocytic leukemia/small lymphocytic lymphoma (also acronimyzed as CLL/SLL).      
                2. Follicular Lymphoma (also acronymized as FL)

                Following are the clinical trials pertient to Obinutuzumab:
                1. rosewood
                2. amplify
                3. elevate-tn
                4. majic
","identify whether the question has relevance with obinutuzumab or not based on the given context,  please assign as yes or no.",1,1,1,Heme Onc,"CLL, FL","obin, obinu",Gazyva,anti-CD20 mAbs ,,,,,,
Tislelizumab,string,Drug,"Tevimbra (tislelizumab) also referred as tisle, is a programmed death receptor-1 (PD-1) blocking antibody indicated for the treatment of adult patients with unresectable or metastatic esophageal squamous cell carcinoma (ESCC) after prior systemic chemotherapy that did not include a PD-(L)1 inhibitor. It is used to treat adults with following cancer indications :      
               1. esophageal squamous cell carcinoma (also acronimyzed as ESCC).

                Following are the clinical trials pertient to tislelizumab:
 - RATIONALE-315
- RATIONALE-312
- RATIONALE-311
- RATIONALE-310
- RATIONALE-309
- RATIONALE-307
- RATIONALE-306
- RATIONALE-305
- RATIONALE-304
- RATIONALE-303
- RATIONALE-302
- RATIONALE-301
- RATIONALE-208
- RATIONALE-209
- BGB-A317-314
- ADVANTIG-105
- ADVANTIG-202
- ADVANTIG-203
- ADVANTIG-204
- ADVANTIG-205
- ADVANTIG-206
- ADVANTIG-301
- ADVANTIG-302","identify whether the question has relevance with tislelizumab (Tevimbra) or not based on the given context,  please assign as yes or no. ",1,1,1,Solid Tumors,ESCC,"tisle, BGB-A317",Tevimbra,PD-1/PD-L1,,,,,,
Trastuzumab,string,Drug,,,1,1,1,Solid Tumors,"ABC, MBC, MGC",,Herceptin,HER2 inhibitor,,,,,,
Rezivertinib,string,Drug,,,1,1,1,Solid Tumors,NSCLC,,,Gen 3rd EGFR TKI,NSCLC-EGFR,,,,,
Tagitanlimab,string,Drug,,,1,1,1,Solid Tumors,"NPC, BC",,,mAbs,"NPC, mHER2- BC, HR+/HER2- BC",,,,,
Loncastuximab tesirine,string,Drug,,,1,1,1,Heme Onc,"R/R LBCL, DLBCL",,Zynlonta,ADC,,,,,,
Lisocabtagene maraleucel,string,Drug,,,1,1,1,Heme Onc,"FL, MCL",,Breyanzi,CAR-T,"3L+FL, 3L+MCL",,,,,
Tarlatamab,string,Drug,,,1,1,1,Solid Tumors,ES-SCLC,,Imdelltra,BiTE,,,,,,
Zenocutuzumab,string,Drug,,,1,1,1,Solid Tumors,NSCLC,,Zeno,"HER2, HER3 bsAb",NRG1+ NSCLC,,,,,
Pembrolizumab,string,Drug,"Keytruda is also known as Pembrolizumab, Pembro. MSD (Merck) is the manufacturer","identify whether the question has relevance with Keytruda or not based on the given context,  please assign as yes or no.",1,1,1,Solid Tumors,"Melanoma, NSCLC, HNSCC, cHL, PMBCL, Urothelial carcinoma, MSI-H/dMMR cancers, Gastric/GEJ adenocarcinoma, Cervical cancer, HCC, RCC, TNBC, Esophageal cancer, Endometrial carcinoma, MCC, cSCC, BTC",pembro,Keytruda,PD-1,,,,,,
Nivolumab,string,Drug,"Opdivo is also known as Nivolumab, Nivo. BMS (Bristol Myers Squibb) is the manufacturer","identify whether the question has relevance with Opdivo or not based on the given context,  please assign as yes or no.",1,1,1,Solid Tumors,"Unresectable/metastatic melanoma, NSCLC, Malignant pleural mesothelioma, RCC, cHL, HNSCC, Urothelial carcinoma, MSI-H/dMMR metastatic colorectal cancer, Esophageal SCC, Gastric/GEJ adenocarcinoma, HCC, Malignant mesothelioma of the pleura",Nivo,Opdivo,PD-1,,,,,,
Inavolisib,string,Drug,,,1,1,1,Solid Tumors,"HR+ MBC, HER2- MBC",,,PL3K alpha,,,,,,
Selpercatinib,string,Drug,,,1,1,1,Solid Tumors,"RET fusion-positive NSCLC, RET-mutant MTC, RET fusion-positive thyroid cancer, RET fusion-positive solid tumors.",Ret,Retevmo,RET kinase,,,,,,
Tovorafenib,string,Drug,,,1,1,1,Solid Tumors,BRAF-alt pLGG,,Ojemda,kinase inhibitor,,,,,,
Zolbetuximab,string,Drug,Zolbetixumab is Not FDA approved yet in USA. Brand name is vyloy. Astellas is the manufacturer,"identify whether the question has relevance with Zolbetixumab or not based on the given context,  please assign as yes or no.",1,1,1,Solid Tumors,HER2- GEJ adenocarcinoma,,Vyloy,mAbs (CLDN18.2),,,,,,
Vobramitamab duocarmazine ,string,Drug,,,1,1,1,Solid Tumors,,"vobra, vobra duo ",,B7-H3 ADC,,,,,,
Astrasentan,string,Drug,,,1,1,1,Solid Tumors,,,,ERA,,,,,,
Zigakibart,string,Drug,,,1,1,1,Solid Tumors,,,,mAbs (APRIL),,,,,,
Filgotinib,string,Drug,,,1,1,1,Solid Tumors,"RA, UC",,Jyseleca,JAK1 inhibitor,,,,,,
DPT0218,string,Drug,,,1,1,1,Solid Tumors,,,,Kv1.3 inhibitor,,,,,,
IB-MECA,string,Drug,,,1,1,1,Solid Tumors,,,Piclidenoson ,A3AR agonist,,,,,,
Tofacitinib,string,Drug,,,1,1,1,Solid Tumors,"RA, PsA, UC, AS, pcJIA",,Xeljanz,JAK1/3 inhibitor,,,,,,
Lirentelimab,string,Drug,,,1,1,1,Solid Tumors,"EG, EoD, EoE, CSU, AD (investigational)",,AK002,mAbs (Siglec-8 agonist),,,,,,
Envafolimab,string,Drug,,,1,1,1,Solid Tumors,Solid Tumors,,???,SubQ PD-L1,,,,,,
Elranatamab,string,Drug,,,1,1,1,Heme Onc,RRMM,,Elrexfio,BCMAxCD3 bsAb,,,,,,
Amivantamab,string,Drug,,,1,1,1,Solid Tumors,NSCLC,,Rybrevant,EGFR×MET bsAb,1L EGFRm NSCLC,,,,,
Lazertinib,string,Drug,,,1,1,1,Solid Tumors,NSCLC,,Leclaza,3rd Gen EGFR TKI,1L EGFRm NSCLC,,,,,
Finotonlimab,string,Drug,,,1,1,1,Solid Tumors,"HCC, renal cell carcinoma, melanoma, NSCLC, SCCHN",,,PD-1/PD-L1,1L adv. HCC ,,,,,
Iruplinalkib,string,Drug,,,1,1,1,Solid Tumors,NSCLC,,Qixinko (???),ROS1/ALK TKI,"1L ALK+ NSCLC, ROS-1 NSCLC",,,,,
Olaparib,string,Drug,,,1,1,1,Solid Tumors,"OC, BC, PC, mCRPC",,Lynparza,PARP inhibitor,"BRCA-mutated ovarian cancer, breast cancer, pancreatic cancer, prostate cancer",,,,,
Relmacabtagene autoleucel,string,Drug,,,1,1,1,Solid Tumors,"LBCL, FL",,Carteyva,CAR-T,,,,,,
Pertuzumab + Trastuzumab + Hyaluronidase-zzxf,string,Drug,,,1,1,1,Solid Tumors,BC,,Phesgo,HER2 inhibitor,HER2-positive breast cancer,,,,,
Garsorasib,string,Drug,,,1,1,1,Solid Tumors,NSCLC,,,KRAS-G12C inhibitor,2L KRAS G12Cm NSCLC ,,,,,
Toripalimab,string,Drug,,,1,1,1,Solid Tumors,NPC,,Loqtorzi,mAbs PD-1,,,,,,
Pertuzumab ,string,Drug,,,1,1,1,Solid Tumors,BC,,Perjeta,HER2 mAbs,HER2+ BC,,,,,
Ziftomenib,string,Drug,,,1,1,1,Solid Tumors,AML,,,menin inhibitor,Acute myeloid leukemia (AML) with NPM1 or KMT2A mutations,,,,,
Iopofosine,string,Drug,,,1,1,1,Solid Tumors,"WM, multiple myeloma, CNS lymphoma",,,small molecule PDC,"Relapsed/refractory multiple myeloma, 3L+ WM, CNS lymphoma",,,,,
NX-5948,string,Drug,,,1,1,1,Solid Tumors,"CLL, SLL",,,BTK degrader,3L+ CLL/SLL,,,,,
Idecabtagene vicleucel,string,Drug,,,1,1,1,Heme Onc,MM,,Abecma,BCMA-Directed CAR T,R/R MM ,,,,,
Momelotinib,string,Drug,,,1,1,1,Heme Onc,MF,,Ojjaara,JAK1/JAK2/ACVR1 inhibitor,Myelofibrosis with anemia,,,,,
AVZO-021,string,Drug,,,1,1,1,Solid Tumors,,,,ARTS-021; CDK2 inhibitor,,,,,,
TTFields,string,Drug,,,1,1,1,Solid Tumors,NSCLC,,Optune,,"Glioblastoma multiforme, mesothelioma",,,,,
BLU-222,string,Drug,,,1,1,1,Solid Tumors,,,,CDK2,,,,,,
BLU-958,string,Drug,,,1,1,1,Solid Tumors,,,,next-gen CDK2,,,,,,
Ambrx,string,Drug,,,1,1,1,Solid Tumors,,,,ADC,,,,,,
JS006,string,Drug,,,1,1,1,Solid Tumors,,,,TIGIT mAbs,,,,,,
Domvanalimab,string,Drug,,,1,1,1,Solid Tumors,,,,TIGIT,,,,,,
Sacituzumab govitecan,string,Drug,,,1,1,1,Solid Tumors,"TNBC, HER2- BC",,Trodelvy,TROP2 ADC,,,,,,
Tisotumab vedotin,string,Drug,,,1,1,1,Solid Tumors,CESC,,Tivdak,ADC,,,,,,
Enfortumab vedotin,string,Drug,,,1,1,1,Solid Tumors,UC,,Padcev,Nectin-4 ADC,LA/M UC,,,,,
Talazoparib + Enzalutamide,string,Drug,,,1,1,1,Solid Tumors,mCRPC,,,PARP inhibitor,HRR gene-mutated mCRPC,,,,,
HPN328,string,Drug,,,1,1,1,Solid Tumors,,,,TriTE,,,,,,
HPN217,string,Drug,,,1,1,1,Solid Tumors,,,,TriTE,,,,,,
T-DXd,string,Drug,,,1,1,1,Solid Tumors,BC,,Enhertu,HER2 ADC,"HER2+ BC, HER2-low BC",,,,,
Repotrectinib,string,Drug,,,1,1,1,Solid Tumors,"NSCLC, solid tumors.",,Augtyro ,ROS1/TRK/ALK inhibitor,"ROS1+ NSCLC, NTRK gene fusion+ solid tumors.",,,,,
Adagrasib,string,Drug,,,1,1,1,Solid Tumors,"NSCLC, CRC",,Krazati,KRAS G12C inhibitor,"KRAS G12C-mutated NSCLC, CRC",,,,,
Atezolizumab,string,Drug,"Tecentriq is also known as Atezolizumab, Atezo. Genentech is the manufacturer","identify whether the question has relevance with Tecentriq or not based on the given context,  please assign as yes or no.",1,1,1,Solid Tumors,"NSCLC, SCLC, HCC",,Tecentriq,PD-L1,,,,,,
felzartamab,string,Drug,,,1,1,1,Solid Tumors,,,,CD38 antagonist,,,,,,
izastobart,string,Drug,,,1,1,1,Solid Tumors,,,,C5aR1 antagonist,,,,,,
GRI-0803,string,Drug,,,1,1,1,Solid Tumors,,,,Type 2 NKT agonist,,,,,,
IMG-007,string,Drug,,,1,1,1,Solid Tumors,,,,OX40 antagonist,,,,,,
SOR102,string,Drug,,,1,1,1,Solid Tumors,,,,"TNF? antagonist, IL-23p19 antagonist",,,,,,
Isatuximab,string,Drug,,,1,1,1,Heme Onc,MM,,Sarclisa (??????),CD38,,,,,,
Ivonescimab,string,Drug,,,1,1,1,Solid Tumors,,,???,VEGFxPD-1 bsAb,,,,,,
Fluzoparib,string,Drug,,,1,1,1,Solid Tumors,OC,,???,PARP,,,,,,
Mefatinib,string,Drug,,,1,1,1,Solid Tumors,,,,EGFR/HER2 TKI,,,,,,
Benmelstobart,string,Drug,,,1,1,1,Solid Tumors,,,,PD-1/PD-L1,,,,,,
Glecirasib,string,Drug,,,1,1,1,Solid Tumors,,,,KRAS G12C inhibitor,,,,,,
BPI-16350 ,string,Drug,,,1,1,1,Solid Tumors,,,???,CDK4/6 inhibitor,,,,,,
uproleselan,string,Drug,,,1,1,1,Solid Tumors,,,,E-selectin antagonist,,,,,,
Belrestotug,string,Drug,,,1,1,1,Solid Tumors,,,,TIGIT mAbs,,,,,,
Dostarlimab-gxly,string,Drug,,,1,1,1,Solid Tumors,dMMR EC,,Jermperli,PD-1/PD-L1,,,,,,
ERAS-0015,string,Drug,,,1,1,1,Solid Tumors,,,,RAS inhibitor,,,,,,
ERAS-4001,string,Drug,,,1,1,1,Solid Tumors,,,,KRAS inhibitor,,,,,,
Camrelizumab,string,Drug,,,1,1,1,Solid Tumors,"HCC, HL, ESCC, NPC, NSCLC",,AiRuiKa,PD-1/PD-L1,,,,,,
Rivoceranib,string,Drug,,,1,1,1,Solid Tumors,HCC ,,Aitan,VEGFR-2 inhibitor,,,,,,
NVL-655,string,Drug,,,1,1,1,Solid Tumors,NSCLC,,,ROS1 inhibitor,,,,,,
Zanidatamab,string,Drug,Zanidatamab is Not FDA approved yet. Jazz Pharmaceuticals is the manufacturer,"identify whether the question has relevance with Zanidatamab or not based on the given context,  please assign as yes or no.",1,1,1,Solid Tumors,,,,HER2 BsAbs,,,,,,
Vibostolimab,string,Drug,,,1,1,1,Solid Tumors,,,,TIGIT mAbs,,,,,,
Opnurasib,string,Drug,,,1,1,1,Solid Tumors,,JDQ-443,,KRAS G12C inhibitor,,,,,,
Dato-DXd,string,Drug,,,1,1,1,Solid Tumors,,,,TROP2 ADC,,,,,,
Ipilimumab,string,Drug,"Yervoy is also known as Ipilimumab, Ipi. BMS (Bristol Myers Squibb) is the manufacturer","identify whether the question has relevance with Yervoy or not based on the given context,  please assign as yes or no.",1,1,1,Solid Tumors,"NSCLC, RCC, CRC, EAC, MPM",ipi,Yervoy,CTLA-4 inhibitor,,,,,,
CLL,string,General terms/acronyms,"it is an acronym for ""Chronic Lymphocytic Leukemia""",,,,1,,,,,,,,,,,
WM,string,General terms/acronyms,"it is an acronym for ""Waldenstorms Macroglobulemia""",,,,1,,,,,,,,,,,
MCL,string,General terms/acronyms,"it is an acronym for ""Mantle Cell Lymphoma""",,,,1,,,,,,,,,,,
MZL,string,General terms/acronyms,"it is an acronym for ""Marzinal Zone Lymphoma""",,,,1,,,,,,,,,,,
FL,string,General terms/acronyms,"it is an acronym for ""Follicular Lymphoma""",,,,1,,,,,,,,,,,
AEs,string,General terms/acronyms,"It is an acronym for Adverse events, also known as ""Side Effects""",,,,1,,,,,,,,,,,
AE,string,General terms/acronyms,"It is an acronym for Adverse events, also known as ""Side Effects""",,,,1,,,,,,,,,,,
afib,string,General terms/acronyms,"It is an acronym for Atrial Fibrillation, also known as ""Afib"" or ""flutter"". It is a cardiac disease often described as a toxicity or adverse event of BTKI",,,,1,,,,,,,,,,,
HTN,string,General terms/acronyms,It is an acronym for Hypertension. It is a cardiac situation that invoves high blood pressure. ,,,,1,,,,,,,,,,,
CV,string,General terms/acronyms,"It is an acronym for ""Cardiovascular""",,,,1,,,,,,,,,,,
f/u,string,General terms/acronyms,It is an acronym for follow up,,,,1,,,,,,,,,,,
PFS,string,General terms/acronyms,It is an acronym for Progression free survival,,,,1,,,,,,,,,,,
ORR,string,General terms/acronyms,It is an acronym for Overall Response Rate,,,,1,,,,,,,,,,,
L528W,string,General terms/acronyms,"it is also known as ""L528W Mutation""",,,,1,,,,,,,,,,,
BID,string,General terms/acronyms,"it is an acronym for ""Bi Daily Dosing""",,,,1,,,,,,,,,,,
QD,string,General terms/acronyms,"it is an acronym for ""Once a day dosing""",,,,1,,,,,,,,,,,
HCP,string,General terms/acronyms,"it is an acronym for ""Healthcare Professional""",,,,1,,,,,,,,,,,
KOL,string,General terms/acronyms,"it is an acronym for ""Key Opinion Leader""",,,,1,,,,,,,,,,,
RWE,string,General terms/acronyms,"it is an acronym for ""Real world evidence""",,,,1,,,,,,,,,,,
IIT,string,General terms/acronyms,"it is an acronym for ""Investigator Initiated Trials""",,,,1,,,,,,,,,,,
ASH,string,General terms/acronyms,"it is an acronym for ""American Society of Hematology""",,,,1,,,,,,,,,,,
ASCO,string,General terms/acronyms,"it is an acronym for ""American Society for Clinical Oncology""",,,,1,,,,,,,,,,,
R/R,string,General terms/acronyms,"it is an acronym for ""Relapsed/Refractory""",,,,1,,,,,,,,,,,
TN,string,General terms/acronyms,"it is an acronym for ""Treatment Naïve""",,,,1,,,,,,,,,,,
BTKi,string,General terms/acronyms,"it is also known as ""Bruton Tyrosine Kinase Inhibitor"" or ""BTK inhibitor""",,,,1,,,,,,,,,,,
BCL2i,string,General terms/acronyms,"it is also known as ""B-cell lymphoma 2 inhibitor"" or ""BCL2 Inhibitor""",,,,1,,,,,,,,,,,
aCD20,string,General terms/acronyms,"it is also known as ""Anti CD20"". Anti-CD20 monoclonal antibodies are a class of drugs used to treat patients with previously untreated chronic lymphocytic leukemia (a type of cancer of the white blood cells), follicular lymphoma (cancer that affects white blood cells called lymphocytes), rheumatoid arthritis (a condition in which the body attacks its own joints, causing pain, swelling, and loss of function), and B-cell non-Hodgkin's lymphoma (a type of cancer that begins in a type of white blood cells that normally fights infection). Generic and brand names of anti-CD20 monoclonal antibodies include:

Arzerra
Gazyva
Ibritumomab tiuxetan
Obinutuzumab
Ofatumumab
Riabni
Rituxan
Rituxan hycela
Rituximab
Rituximab-abbs
Rituximab-arrx
Rituximab-hyaluronidase
Rituximab-pvvr
Ruxience
Truxima
Zevalin",,,,1,,,,,,,,,,,
cBTKi,string,General terms/acronyms,"it is also known as ""covalent BTKi"". Zanubrutinib, Ibrutinib and acalabrutinib are covalent BTKi.",,,,1,,,,,,,,,,,
ncBTKi,string,General terms/acronyms,"it is also known as ""Non-Covalent BTKi"". Pirtobrutinib is a non covalent BTKi",,,,1,,,,,,,,,,,
Chemo,string,General terms/acronyms,"it is an acronym for ""Chemotherapy""",,,,1,,,,,,,,,,,
Boven,string,General terms/acronyms,"Treatment with zanubrutinib, obinutuzumab, and venetoclax is known as BOVen. BOVen is a well-tolerated, outpatient regimen associated with high response rates and high rates of undetectable MRD in untreated TP53-mutant MCL",,,,1,,,,,,,,,,,
SLL,string,General terms/acronyms,"it is also known as ""SLL/CLL"" or ""small lymphocytic lymphoma"". ",,,,1,,,,,,,,,,,
LOXO 338,string,General terms/acronyms,"LOXO-338 is a novel, orally bioavailable small molecule inhibitor of BCL2. In current context, it can refer to clinical trial where it is used as monotherapy or in combination with Pirtobrutinib ",,,,1,,,,,,,,,,,
monoclonal,string,General terms/acronyms,"it is also known as ""Monoclonal Antibodies"" or ""MAB""",,,,1,,,,,,,,,,,
MAB,string,General terms/acronyms,"it is an acronym for ""Monoclonal Antibodies""",,,,1,,,,,,,,,,,
rituxan,string,General terms/acronyms,"it is also known as ""rituximab""",,,,1,,,,,,,,,,,
fibrillation,string,General terms/acronyms,"It is an acronym for Atrial Fibrillation, also known as ""Afib"" or ""flutter"". It is a cardiac disease often described as a toxicity or adverse event of BTKI",,,,1,,,,,,,,,,,
kinase,string,General terms/acronyms,"It will be generally referenced in context to ""BTKI"" which means ""mammalian target of rapamycin"". ",,,,1,,,,,,,,,,,
L528,string,General terms/acronyms,"it is also known as ""L528W mutation"" or ""L528W"" or ""BTK L528 mutation""",,,,1,,,,,,,,,,,
C481,string,General terms/acronyms,"it is also known as ""C481S Mutation"" or ""C481S"" or ""BTK C481 mutation""",,,,1,,,,,,,,,,,
T474,string,General terms/acronyms,"it is also known as ""T474i"" or ""T474i mutation"" or ""BTK T474i mutation""",,,,1,,,,,,,,,,,
M437,string,General terms/acronyms,"it is also known as ""M437R"" or  ""M437R mutation"" or ""BTK M437R mutation""",,,,1,,,,,,,,,,,
V416,string,General terms/acronyms,"it is also known as ""V416L"" or  ""V416L mutation"" or ""BTK V416L mutation""",,,,1,,,,,,,,,,,
A428,string,General terms/acronyms,"it is also known as ""A428D"" or  ""A428D mutation"" or ""BTK A428D mutation""",,,,1,,,,,,,,,,,
mTOR,string,General terms/acronyms,"it is an acronym for ""Mechanistic Target of Rapamycin"" or ""mammalian target of rapamycin"". The mTOR signaling was demonstrated to enhance gene transcription and translation to control cellular growth, autophagy, and apoptosis. Dysregulation of mTOR has been found to be strongly linked with several diseases like aging, arthritis, insulin resistance, osteoporosis, cancers, and neurological disorders.",,,,1,,,,,,,,,,,
cytokines,string,General terms/acronyms,"Cytokines are small secreted proteins released by cells have a specific effect on the interactions and communications between cells. Cytokine is a general name; other names include lymphokine (cytokines made by lymphocytes), monokine (cytokines made by monocytes), chemokine (cytokines with chemotactic activities), and interleukin (cytokines made by one leukocyte and acting on other leukocytes). Cytokines may act on the cells that secrete them (autocrine action), on nearby cells (paracrine action), or in some instances on distant cells (endocrine action). There are both pro-inflammatory cytokines and anti-inflammatory cytokines",,,,1,,,,,,,,,,,
biomarkers,string,General terms/acronyms,"biomarker is “a biological molecule found in blood, other body fluids, or tissues that is a sign of a normal or abnormal process, or of a condition or disease,”(NCI) such as cancer. Biomarkers typically differentiate an affected patient from a person without the disease. The alterations can be due to a number of factors, including germline or somatic mutations, transcriptional changes, and post‐translational modifications. There is tremendous variety of biomarkers, which can include proteins (e.g., an enzyme or receptor), nucleic acids (e.g., a microRNA or other non‐coding RNA), antibodies, and peptides, among other categories. A biomarker can also be a collection of alterations, such as gene expression, proteomic, and metabolomic signatures. Biomarkers can be detected in the circulation (whole blood, serum, or plasma) or excretions or secretions (stool, urine, sputum, or nipple discharge), and thus easily assessed non‐invasively and serially, or can be tissue‐derived, and require either biopsy or special imaging for evaluation. Genetic biomarkers can be inherited, and detected as sequence variations in germ line DNA isolated from whole blood, sputum, or buccal cells, or can be somatic, and identified as mutations in DNA derived from tumor tissue.",,,,1,,,,,,,,,,,
prognostic,string,General terms/acronyms,"It refers to ""prognostic parameters""",,,,1,,,,,,,,,,,
Dosing,string,General terms/acronyms,"Any reference to dosing or dose or QID or BID or Oral Administration or pill administration or drug administration will refer to insights containing mention of Dosing & Administration. There could also be mentions of fixed dosage, reduced dosage or increased dosage.",,,,1,,,,,,,,,,,
Safety & Efficacy,string,General terms/acronyms,Any reference to safety or efficacy or tolerability will refer to insights having mention of safety and efficacy,,,,1,,,,,,,,,,,
Cardiac Safety,string,General terms/acronyms,Any reference to cardiac safety or cardiotoxicity or cv risk or hypertension or atrial fibrillation or flutter or ventricular arrhythmias or chest discomfort or any keyword related to cardiology or heart in general will refer to insights having mention of cardiac safety or cardiotoxicity,,,,1,,,,,,,,,,,
Cardiotoxicity,string,General terms/acronyms,Any reference to cardiac safety or cardiotoxicity or cv risk or hypertension or atrial fibrillation or flutter or ventricular arrhythmias or chest discomfort or any keyword related to cardiology or heart in general will refer to insights having mention of cardiac safety or cardiotoxicity,,,,1,,,,,,,,,,,
Brexu cel,string,General terms/acronyms,"it is an acronym for ""Brexucabtagene Autoleucel"" and is a CAR-T cell therapy used for the treatment of mantle cell lymphoma (MCL)",,,,1,,,,,,,,,,,
RT,string,General terms/acronyms,"it is an acronym for ""Richter's Transformation""",,,,1,,,,,,,,,,,
Liso cel,string,General terms/acronyms,"it is an acronym for ""Lisocabtagene Maraleucel"", it refers to a CAR-T cell therapy used for the treatment of certain types of large B-cell lymphoma.",,,,1,,,,,,,,,,,
Breyanzi,string,General terms/acronyms,"it is also known as ""Lisocabtagene Maraleucel"", it refers a CAR-T cell therapy used to treat certain types of large B-cell lymphoma.",,,,1,,,,,,,,,,,
Lisocabtagene maraleucel,string,General terms/acronyms,it refers a CAR-T cell therapy used to treat certain types of large B-cell lymphoma,,,,1,,,,,,,,,,,
abnormal EKG,string,General terms/acronyms,"it refers to an ""Electrocardiogram"" or ""ECG"" result that deviates from normal, indicating potential heart problems.",,,,1,,,,,,,,,,,
CV tox,string,General terms/acronyms,"It is an acronym for ""Cardiovascular Toxicity""",,,,1,,,,,,,,,,,
cardiac fibrosis,string,General terms/acronyms,"it refers to the thickening and stiffening of cardiac tissue due to an excess buildup of fibrous connective tissue, often resulting from chronic inflammation or damage. It is a type of cardic disease and could also be a cardiotoxicity in context of BTKi",,,,1,,,,,,,,,,,
cardiac ae profile,string,General terms/acronyms,it refers to the profile of adverse events related to cardiac health observed in clinical trials or treatments,,,,1,,,,,,,,,,,
cardiotox,string,General terms/acronyms,"it is an acronym for ""Cardiotoxicity""",,,,1,,,,,,,,,,,
rwCLL,string,General terms/acronyms,"it is an acronym for ""Real-world Chronic Lymphocytic Leukemia"" or ""CLL""",,,,1,,,,,,,,,,,
LL&M,string,General terms/acronyms,"it is an acronym for ""Leukemia, Lymphoma & Myeloma,"" referring to a group of blood cancers",,,,1,,,,,,,,,,,
SOHO,string,General terms/acronyms,"it is an acronym for ""Society of Hematologic Oncology""",,,,1,,,,,,,,,,,
FiH,string,General terms/acronyms,"it is an acronym for ""First in Human,"" referring to the first phase of clinical trials in which a new treatment is tested in humans for the first time",,,,1,,,,,,,,,,,
CDAC,string,General terms/acronyms,"it is an acronym for ""Chimeric Degradation Activation Compounds"", also known as BTK degraders or Protein degraders. ",,,,1,,,,,,,,,,,
AESI,string,General terms/acronyms,"it is an acronym for ""Adverse Events of Special Interest"" or could be generally referred to as ""adverse events""",,,,1,,,,,,,,,,,
Treatment Naive,string,General terms/acronyms,refers to patients who have never received treatment for their condition,,,,1,,,,,,,,,,,
Relapsed Refractory,string,General terms/acronyms,refers to patients whose disease has returned after treatment (relapsed) and does not respond to further treatment (refractory),,,,1,,,,,,,,,,,
Combination therapy,string,General terms/acronyms,refers to the use of more than one medication or treatment approach simultaneously to treat a disease,,,,1,,,,,,,,,,,
IGHV,string,General terms/acronyms,"it is an acronym for ""Immunoglobulin Heavy Chain Variable Region,"" refers to a gene segment whose mutation status is used as a prognostic marker in chronic lymphocytic leukemia (CLL)",,,,1,,,,,,,,,,,
Del 17p,string,General terms/acronyms,"refers to the ""deletion of part of chromosome 17"" or ""17P deletion"", often associated with a poor prognosis in chronic lymphocytic leukemia (CLL). The 17p deletion leads to the loss of the tumor suppressor gene TP53, which is linked to many genetic conditions and some types of cancer, such as leukemia, multiple myeloma, and myelodysplastic syndrome.",,,,1,,,,,,,,,,,
switching,string,General terms/acronyms,"generally refers to changing from one treatment to another in current context, often due to lack of efficacy or adverse effects or unfavourable outcomes or financial constraints",,,,1,,,,,,,,,,,
PK,string,General terms/acronyms,"it is an acronym for ""Pharmacokinetics"". It is one of the main branches of pharmacology, and refers to the way that the body reacts on and affects a pharmaceutical substance in the body",,,,1,,,,,,,,,,,
DDI,string,General terms/acronyms,"it is an acronym for ""Drug-Drug Interaction,"" which occurs when one drug affects the activity of another drug when both are administered together",,,,1,,,,,,,,,,,
breadth ,string,General terms/acronyms,"refers to the range or extent of something, such as the effectiveness of a drug across various conditions or populations",,,,1,,,,,,,,,,,
GC,string,General terms/acronyms,Acronym for Gastric Cancer,,,,1,,,,,,,,,,,
ESCC,string,General terms/acronyms,Acronym for Esophageal Squamous Cell Carcinoma,,,,1,,,,,,,,,,,
GEJC,string,General terms/acronyms,Acronym for GastroEsophageal Junction Cancer,,,,1,,,,,,,,,,,
NSCLC,string,General terms/acronyms,Acronym for Non-Small Cell Lung Cancer,,,,1,,,,,,,,,,,
PDAC,string,General terms/acronyms,Acronym for Pancreatic Ductal Adenocarcinoma,,,,1,,,,,,,,,,,
HCC,string,General terms/acronyms,Acronym for Hepatocellular Carcinoma,,,,1,,,,,,,,,,,
CRC,string,General terms/acronyms,Acronym for Colorectal Cancer,,,,1,,,,,,,,,,,
GEA,string,General terms/acronyms,Acronym for Gastroesophageal Adenocarcinoma,,,,1,,,,,,,,,,,
CCA,string,General terms/acronyms,Acronym for Cholangiocarcinoma,,,,1,,,,,,,,,,,
BTC,string,General terms/acronyms,Acronym for Biliary Tract Cancer,,,,1,,,,,,,,,,,
